1,1,55
1,2,32
1,4,20
1,8,18
1,12,20
1,16,18
1,20,18
2,1,369
2,2,123
2,4,56
2,8,17
2,12,17
2,16,14
2,20,13
4,1,512
4,2,267
4,4,131
4,8,35
4,12,19
4,16,11
4,20,10
8,1,551
8,2,377
8,4,263
8,4,323
8,8,131
8,12,74
8,20,13
12,1,527
12,2,378
12,4,288
12,8,181
12,12,126
12,16,82
12,20,41
16,1,513
16,2,359
16,4,272
16,8,200
16,12,150
16,16,105
16,20,82
20,1,481
20,2,333
20,4,241
20,8,189
20,12,151
20,16,121
20,20,86
